,0
0,Valencia
1,La Mancha
2,Vino de España
3,Cariñena
4,Utiel-Requena
5,Castilla
6,Navarra
7,Cataluña
8,Murcia
9,Rioja
10,Castilla y León
11,Valle del Cinca
12,Cava
13,Penedès
14,Somontano
15,Valdepeñas
16,Toro
17,Campo de Borja
18,Uclés
19,Empordà
20,Rioja Alta
21,Rueda
22,Aragón
23,Terra Alta
24,Ribeiro
25,Tierra de León
26,Tarragona
27,Castelló
28,Jumilla
29,Cigales
30,Cádiz
31,Calatayud
32,Jerez-Xérès-Sherry
33,Alicante
34,Ribera del Guadiana
35,Ribeira Sacra
36,Ribera del Duero
37,Andalucía
38,Costers del Segre
39,Extremadura
40,Málaga
41,Montsant
42,Valdejalón
43,Méntrida
44,Lisboa
45,Península de Setúbal
46,Alentejano
47,Alentejo
48,Vinho verde
49,Tejo
50,Douro
51,Beiras
52,Dão
53,Bairrada
54,Vinho de Portugal
55,Trás-os-Montes
56,Palmela
57,Beira Interior
58,Ribatejo
59,Távora-Varosa
60,Duriense
61,Serra da Estrela
62,Algarve
63,Porto
64,Monção e Melgaço
65,Minho
66,Transmontano
67,Óbidos
68,Douro Superior
69,Alenquer
70,Amarante
71,Redondo
72,Terre Siciliane
73,Terre di Chieti
74,Cerasuolo d'Abruzzo
75,Sicilia
76,Trebbiano d'Abruzzo
77,Daunia
78,delle Venezie
79,Lombardía
80,Salento
81,Colline Pescaresi
82,Abruzos
83,Castelli Romani
84,Véneto
85,Marche
86,Lison-Pramaggiore
87,Venecia
88,Villamagna
89,Maremma Toscana
90,Bianco di Custoza
91,Lazio
92,Umbria
93,Rubicone
94,Cirò
95,Circeo
96,Valle Peligna
97,Etna
98,Emilia-Romagna
99,Prosecco
100,Friuli-Venezia Giulia
101,Bardolino Chiaretto
102,Puglia
103,Toscana
104,Colli Aprutini
105,Montello e Colli Asolani
106,Friuli Grave
107,Roma
108,Zagarolo
109,Rosso Piceno
110,Piamonte
111,Monreale
112,Benaco Bresciano
113,Venezia Giulia
114,Colline Teatine
115,Südtirol - Alto Adige
116,Falanghina del Beneventano
117,Oltrepò Pavese
118,Falerio Pecorino
119,Breganze
120,Verona
121,Emilia
122,Alghero
123,Vigneti delle Dolomiti
124,Dolcetto d'Alba
125,Colli Piacentini
126,Chianti
127,Gutturnio
128,Vino d'Italia
129,Bianco di Pitigliano
130,Trevenezie
131,Colli del Limbara
132,Sannio
133,Costa Toscana
134,Trentino
135,Castel del Monte
136,Garda
137,Rosso Conero
138,Moscato d'Asti
139,Prosecco di Treviso
140,Graves
141,Sudoeste de Francia
142,Burdeos
143,Côtes Catalanes
144,Pays d'Oc
145,Languedoc
146,Luberon
147,Comté Tolosan
148,Côtes de Gascogne
149,Côtes du Roussillon
150,Côtes du Lot
151,Méditerranée
152,Côtes-du-Rhône (Colinas del Ródano)
153,Ventoux
154,Vin de France.
155,Vin de Pays
156,Vaucluse
157,Côtes de Bourg
158,Gard
159,Côtes de Provence
160,Blaye - Côtes de Bordeaux
161,Languedoc-Rosellón
162,Coteaux de Peyriac
163,Ardèche
164,Fronton
165,Buzet
166,Côtes de Thongue
167,Beaujolais-Villages
168,Côtes de Bordeaux
169,Cabardès
170,Cevennes
171,Rosé d'Anjou
172,Gaillac
173,Corbières
174,Ile de Beaute
175,Bourgogne Mousseux
176,Hérault
177,valle del Loira
178,Collioure
179,Var
180,Bergerac Rosé
181,Aude
182,Saint-Chinian
183,Haute Vallee de l'Aude
184,Costières-de-Nîmes
185,Coteaux de Béziers
186,Saint-Guilhem-le-Desert
187,Alsacia
188,Entre-Deux-Mers
189,Limoux
190,Atlantique
191,Touraine
192,Coteaux Varois en Provence
193,Beaujolais
194,Coteaux d'Aix-en-Provence
